Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;27,9;31,0;17,9;15,1;46,0;1000,0;9,8;5,2;45,0
0,0;26,8;29,0;21,6;23,4;82,0;996,0;2,2;3,3;45,0
0,0;26,8;31,0;22,4;21,2;73,0;995,0;6,0;4,3;45,0
4,9;28,5;32,0;23,3;21,5;67,0;996,0;8,0;6,4;45,0
0,0;21,1;26,5;17,6;15,9;74,0;998,0;5,5;3,5;45,0
0,0;25,1;30,5;16,4;14,3;53,0;999,0;11,2;6,4;45,0
0,0;25,7;30,5;15,4;13,6;48,0;998,0;11,5;5,9;46,0
0,0;25,5;32,0;14,2;12,5;48,0;999,0;11,3;6,9;46,0
0,0;27,3;33,5;14,8;14,1;48,0;996,0;11,4;7,5;46,0
0,0;30,6;35,6;19,8;16,9;47,0;993,0;11,3;8,9;46,0
4,5;26,5;33,0;24,4;19,9;68,0;995,0;5,8;5,2;46,0
0,0;23,6;27,5;19,1;20,8;84,0;991,0;1,5;3,0;46,0
0,0;24,5;28,8;22,0;13,6;51,0;995,0;10,7;6,0;46,0
0,0;24,1;29,9;15,8;7,6;36,0;998,0;11,3;5,0;47,0
0,0;28,0;32,3;13,7;14,9;45,0;996,0;11,3;6,8;47,0
0,0;25,6;29,7;20,6;18,4;65,0;996,0;s/d;4,9;47,0
0,0;21,8;28,0;16,0;13,6;62,0;1001,0;9,3;7,9;47,0
0,0;25,1;31,0;13,1;11,8;46,0;997,0;11,2;7,6;47,0
33,0;30,4;35,5;16,6;17,9;49,0;997,0;11,5;s/d;47,0
22,2;19,5;28,5;21,6;18,4;93,0;997,0;0,0;3,9;47,0
0,0;23,6;28,5;17,4;16,5;66,0;1000,0;11,0;5,0;48,0
0,0;25,5;30,5;17,0;16,1;57,0;1000,0;11,5;7,7;48,0
0,0;26,7;33,5;18,8;17,1;56,0;1000,0;11,8;7,5;48,0
76,2;29,7;34,6;19,5;21,2;62,0;995,0;6,3;s/d;48,0
0,1;26,5;30,5;21,8;22,9;81,0;993,0;6,2;3,8;48,0
0,0;28,6;31,1;21,1;18,9;56,0;994,0;s/d;8,0;48,0
0,0;29,1;31,5;22,6;21,4;64,0;994,0;11,7;5,5;48,0
37,2;28,9;33,5;21,3;21,9;69,0;994,0;7,4;s/d;49,0
0,0;28,0;32,0;22,9;21,4;68,0;997,0;8,2;7,0;49,0
0,0;28,8;32,5;21,9;21,0;63,0;998,0;11,6;6,1;49,0
