"","Anho","Serotipo","semana","Total_Casos_Dengue(b)","Tasa _Incidencia _(c)","Confirmados_Laboratorio","Dengue_Grave_ (d)","DG/D_x100_(e)","Muertes","Letalidad_f","Poblacion_X1000","Precipitacion","Temp_Aire_med","Temp_Aire_max","Temp_Aire_min","Temp_Rocio_med","Humedad_med","Presion_Atm_med","Insolacion","Evaporacion"
"1","2017","DEN 1","1",20,"0.29",3,0,"0.00",0,"0.000",6.811,0.0428571428571429,30.9857142857143,37,24,22.8333333333333,64.1666666666667,996.333333333333,7.72857142857143,6.34285714285714
"2","2017","DEN 1","2",40,"0.59",3,0,"0.00",0,"0.000",6.811,0.614285714285714,31.3,38.2,24.6,22.7333333333333,61.2,995,8.07142857142857,5.84285714285714
"3","2017","DEN 1","3",60,"0.88",12,0,"0.00",0,"0.000",6.811,2.84285714285714,31,38.1,22.2,21.3857142857143,58.2857142857143,997.142857142857,10.3714285714286,5.4
"4","2017","DEN 1","4",83,"1.22",16,0,"0.00",0,"0.000",6.811,9.52857142857143,26.7428571428571,36,15.2,18.7571428571429,64.8571428571429,999.428571428571,8.72857142857143,5.25
"5","2017","DEN 1","5",116,"1.70",20,0,"0.00",0,"0.000",6.811,6.72857142857143,28.4571428571429,35.5,20.3,21.6714285714286,68.7142857142857,996.714285714286,9.43333333333333,9
"6","2017","DEN 1","6",116,"1.70",23,1,"0.86",0,"0.000",6.811,17.9714285714286,25.8571428571429,35.1,18.6,19.8285714285714,73.8571428571429,996.142857142857,7.98,17.9714285714286
"7","2017","DEN 1","7",116,"1.70",32,1,"0.86",0,"0.000",6.811,0.0857142857142857,28.7,35,20.8,21.5285714285714,66.7142857142857,996.714285714286,10.0571428571429,0.0857142857142857
"8","2017","DEN 1","8",179,"2.63",36,1,"0.56",0,"0.000",6.811,4.18571428571429,30.5,37.2,22.3,19.4285714285714,63,999.166666666667,8.35,4.8
"9","2017","DEN 1","9",220,"3.23",45,1,"0.45",0,"0.000",6.811,10.4142857142857,28.9,35,23,19.6333333333333,74.4,993.4,10,12.3833333333333
"10","2017","DEN 1","10",238,"3.49",56,1,"0.42",0,"0.000",6.811,0.885714285714286,29.7285714285714,36.2,23.2,23.6,70.5714285714286,995.142857142857,7.35,0.885714285714286
"11","2017","DEN 1","11",288,"4.23",90,1,"0.35",0,"0.000",6.811,3.17142857142857,24.6142857142857,36.1,14.2,17.1857142857143,69,1000.85714285714,7.15714285714286,3.17142857142857
"12","2017","DEN 1","12",294,"4.32",116,1,"0.34",0,"0.000",6.811,5.05714285714286,26.3,32.5,16.8,20.6857142857143,70.4285714285714,1001.28571428571,6.33333333333333,5.05714285714286
"13","2017","DEN 1","13",314,"4.61",130,1,"0.32",0,"0.000",6.811,0.214285714285714,26.6571428571429,32,20,20.0714285714286,68.8571428571429,1000.42857142857,7.78571428571429,1.3
"14","2017","DEN 1","14",331,"4.86",150,1,"0.30",0,"0.000",6.811,4.54285714285714,25.6142857142857,34,18,20.9,76.7142857142857,996.285714285714,5.23333333333333,3.45
"15","2017","DEN 1","15",332,"4.87",153,1,"0.30",0,"0.000",6.811,9,23.1857142857143,33.5,14.4,19.3,78.4,1000,5.5,3.24
"16","2017","DEN 1","16",361,"5.30",175,1,"0.28",0,"0.000",6.811,7.31428571428571,21.9571428571429,27.8,15.2,19.3142857142857,87.4285714285714,1000,1.8,1.75
"17","2017","DEN 1","17",709,"10.41",205,1,"0.14",0,"0.000",6.811,1.64285714285714,20.9857142857143,30.5,8.1,14.0142857142857,68.2857142857143,1002.57142857143,8.11428571428571,3.98571428571429
"18","2017","DEN 1","18",715,"10.50",230,1,"0.14",0,"0.000",6.811,9.78571428571429,21.8,29,13,17.7571428571429,83.1428571428571,1002.42857142857,6.08,3.13333333333333
"19","2017","DEN 1","19",915,"13.43",236,1,"0.11",0,"0.000",6.811,8.17142857142857,24.2285714285714,30.2,17.8,19.45,75.6666666666667,999.333333333333,5.88333333333333,2.3
"20","2017","DEN 1","20",1.19,"17.47",252,0,"0.00",0,"0.000",6.811,2.72857142857143,20.8,29,13.8,14.6285714285714,70.5714285714286,997.833333333333,3.84285714285714,2.57142857142857
